board,boardSlug,qualification,qualificationSlug,subject,subjectSlug,specCode,specStatus,specApplicability,officialSource1,officialSource2,verificationDate,summaryStatus,topicMapStatus,assessmentStatus,assessmentRecordCount,assessmentCompleteness,assessmentModel,assessmentComponentCount,assessmentSourceUrl,assessmentVerifiedOn,assessmentLifecycleStatus,studyGuideCount,revisionNoteCount,pastPaperCount,practiceQuestionCount,examPrepCount,subjectGuideCount,learningArticleCount,quizCount,flashcardCount,videoCount,diagnosticCount,totalResourceCount,namedAuthor,namedReviewer,lastReview,teachingStatus,enrolmentStatus,indexable,totalQualifyingWordCount,tier,priorityScore,evidence,risks,nextAction
Cambridge,cambridge,O Level,o-level,English Language,english-language,1123,verified,2024-2026,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-o-level-english-language-1123/,https://www.cambridgeinternational.org/Images/634453-2024-2026-syllabus.pdf,2026-08-19,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2311,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Cambridge,cambridge,O Level,o-level,Statistics,statistics,4040,verified,2025-2027,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-o-level-statistics-4040/,https://www.cambridgeinternational.org/Images/664481-2025-2027-syllabus.pdf,2026-08-21,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-26,teaching,enquire,true,2096,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Accounting,accounting,YAC11,verified,2015-ongoing,https://qualifications.pearson.com/en/qualifications/edexcel-international-advanced-levels/accounting-2015.html,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Accounting/2015/specification-and-sample-assessments/pearson-edexcel-ial-accounting-specification.pdf,2026-08-19,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2098,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Biology,biology,YBI11,verified,2018-ongoing,https://qualifications.pearson.com/en/qualifications/edexcel-international-advanced-levels/biology-2018.html,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Biology/2018/Specification-and-Sample-Assessment/International-A-Level-Biology-Spec.pdf,2026-08-19,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2118,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Business,business,YBS11,verified,2017-ongoing,https://qualifications.pearson.com/en/qualifications/edexcel-international-advanced-levels/business-2017.html,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Business/2017/specification-and-sample-assessments/international-a-level-business-specification.pdf,2026-08-19,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2744,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Chemistry,chemistry,YCH11,verified,2018-ongoing,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Chemistry/2018/Specification-and-Sample-Assessment/International-A-Level-Chemistry-Spec.pdf,NO_DATA,2026-08-21,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2458,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Economics,economics,YEC11,verified,2018-ongoing,https://qualifications.pearson.com/en/qualifications/edexcel-international-advanced-levels/economics-2018.html,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Economics/2018/Specification-and-Sample-Assessment/International-A-Level-Economics-spec.pdf,2026-08-25,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2259,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Law,law,YLA11,verified,2015-ongoing,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Law/2015/specification-and-sample-assessments/Pearson-Edexcel-IAL-Law-Specification.pdf,NO_DATA,2026-08-21,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,2918,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Mathematics,mathematics,YMA01,verified,2018-ongoing,https://qualifications.pearson.com/en/qualifications/edexcel-international-advanced-levels/mathematics-2018.html,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Mathematics/2018/Specification-and-Sample-Assessment/international-a-level-maths-spec.pdf,2026-08-19,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,1,1,0,1,0,0,0,0,0,0,0,3,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,1947,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
Pearson Edexcel,edexcel,A Level,a-level,Physics,physics,YPH11,verified,2018-2027,https://qualifications.pearson.com/en/qualifications/edexcel-international-advanced-levels/physics-2018.html,https://qualifications.pearson.com/content/dam/pdf/International%20Advanced%20Level/Physics/2018/Specification%20and%20Sample%20Assessment/9781446957783_IAL_Physics_Iss3.pdf,2026-08-18,published,published,not-modeled,0,NO_ASSESSMENT_RECORD,NO_DATA,0,NO_DATA,NO_DATA,NO_DATA,11,11,0,11,0,0,0,0,0,0,0,33,Marlbridge Academic Team (organisation byline — see v1.2 WS7),NO_DATA,2026-08-22,teaching,enquire,true,27208,NO_DATA,NO_DATA,la-course,none,None — combination is resourced and sourced.
